_id,Reporting date,Card Type,Category,Series Description,Sector,Sub-sector,ObservationType,Observation Scale,Value
104,2015-06,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,120276
105,2015-06,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,198704
106,2015-06,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,203985
107,2015-06,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,165563
108,2015-06,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,38422
109,2015-07,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,4668417
110,2015-07,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,3784214
111,2015-07,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,1658696
112,2015-07,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,2125519
113,2015-07,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,884203
114,2015-07,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,709908
115,2015-07,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,174295
116,2015-07,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,909176
117,2015-07,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,621444
118,2015-07,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,192030
119,2015-07,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,95702
120,2015-07,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,540924
121,2015-07,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,335461
122,2015-07,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,132181
123,2015-07,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,203280
124,2015-07,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,205463
125,2015-07,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,170188
126,2015-07,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,35275
127,2015-08,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,4655018
128,2015-08,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,3792028
129,2015-08,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,1608693
130,2015-08,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,2183335
131,2015-08,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,862990
132,2015-08,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,698348
133,2015-08,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,164642
134,2015-08,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,897838
135,2015-08,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,619695
136,2015-08,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,188934
137,2015-08,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,89209
138,2015-08,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,500212
139,2015-08,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,317151
140,2015-08,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,120459
141,2015-08,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,196692
142,2015-08,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,183061
143,2015-08,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,151198
144,2015-08,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,31863
145,2015-09,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,4612948
146,2015-09,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,3725813
147,2015-09,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,1573762
148,2015-09,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,2152051
149,2015-09,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,887135
150,2015-09,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,701393
151,2015-09,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,185742
152,2015-09,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,995908
153,2015-09,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,680872
154,2015-09,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,213888
155,2015-09,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,101148
156,2015-09,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,473136
157,2015-09,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,287085
158,2015-09,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,101240
159,2015-09,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,185845
160,2015-09,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,186051
161,2015-09,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,147571
162,2015-09,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,38480
163,2015-10,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,4573720
164,2015-10,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,3737201
165,2015-10,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,1580685
166,2015-10,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,2156516
167,2015-10,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,836519
168,2015-10,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,653834
169,2015-10,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,182685
170,2015-10,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,907503
171,2015-10,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,632954
172,2015-10,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,177444
173,2015-10,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,97105
174,2015-10,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,448058
175,2015-10,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,270410
176,2015-10,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,88993
177,2015-10,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,181417
178,2015-10,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,177648
179,2015-10,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,137160
180,2015-10,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,40488
181,2015-11,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,4826136
182,2015-11,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,3920985
183,2015-11,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,1535289
184,2015-11,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,2385696
185,2015-11,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,905151
186,2015-11,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,715626
187,2015-11,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,189525
188,2015-11,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,969049
189,2015-11,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,687638
190,2015-11,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,182869
191,2015-11,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,98542
192,2015-11,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,430743
193,2015-11,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,260172
194,2015-11,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,72863
195,2015-11,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,187309
196,2015-11,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,170571
197,2015-11,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,131815
198,2015-11,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,38756
199,2015-12,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,5473171
200,2015-12,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,4489200
201,2015-12,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,1734282
202,2015-12,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,2754918
203,2015-12,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,983971
204,2015-12,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,787253
205,2015-12,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,196718
206,2015-12,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,955483
207,2015-12,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,685497
208,2015-12,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,181114
209,2015-12,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,88872
210,2015-12,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,407890
211,2015-12,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,258662
212,2015-12,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,69034
213,2015-12,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,189628
